uuid,code,column,value_from,value_to,ruleset,message,severity
00008100_001fa8e8,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f3800,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_00282f4f,APPLIED_REGEX_RULE,art_bot,Crataegus x macrocarpa,Crataegus hybr. macrocarpa,markers,normalize hybrid marker,NA
00008100_001f19a9,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5fb5,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5fb3,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5fb4,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5fc1,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_002d65b3,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_0028cb80,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_001febb8,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001feb3c,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001febc3,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001feb33,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001feb30,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
