code,value_from,value_to,message,n
APPLIED_REGEX_RULE,Sorbus 'Dodong',Sorbus commixta 'Dodong',insert species for cultivars,34
APPLIED_REGEX_RULE,Acer davidii subsp. Davidii,Acer davidii ssp. Davidii,latin normalization,2
APPLIED_REGEX_RULE,Acer pectinatum Forrestii,Acer pectinatum ssp. forrestii,latin normalization,1
APPLIED_REGEX_RULE,Acer platanoides 'Eurostar' (R),Acer platanoides 'Eurostar' ,latin normalization,87
APPLIED_REGEX_RULE,Fraxinus americana 'Autumn Purple' (R),Fraxinus americana 'Autumn Purple' ,latin normalization,72
APPLIED_REGEX_RULE,Ginkgo biloba 'Fastigiata Blagon' (R),Ginkgo biloba 'Fastigiata Blagon' ,latin normalization,3
APPLIED_REGEX_RULE,"Ginkgo biloba, Ginkgo",Ginkgo biloba,latin normalization,1
APPLIED_REGEX_RULE,Hamamelis in Sorten,Hamamelis sp.,latin normalization,2
APPLIED_REGEX_RULE,Liquidambar styraciflua 'Paarl' (R),Liquidambar styraciflua 'Paarl' ,latin normalization,137
APPLIED_REGEX_RULE,Magnolia grandiflora 'Alta' (R),Magnolia grandiflora 'Alta' ,latin normalization,2
APPLIED_REGEX_RULE,Malus Hybriden in Sorten,Malus hybr.,latin normalization,329
APPLIED_REGEX_RULE,Perovskia atriplicifolia 'Little Spire' (S),Perovskia atriplicifolia 'Little Spire' ,latin normalization,1
APPLIED_REGEX_RULE,Pinus nigra Fastigiata,Pinus nigra 'Fastigiata',latin normalization,1
APPLIED_REGEX_RULE,Platanus hybr. hispanica,Platanus hybr. acerifolia,latin normalization,19
APPLIED_REGEX_RULE,Platanus hybr. hispanica 'Pyramidalis',Platanus hybr. acerifolia 'Pyramidalis',latin normalization,5
APPLIED_REGEX_RULE,Platanus hybr. hispanica 'Tremonia',Platanus hybr. acerifolia 'Tremonia',latin normalization,458
APPLIED_REGEX_RULE,Populus hybr. canadensis Hybride,Populus hybr. canadensis,latin normalization,3424
APPLIED_REGEX_RULE,Salix balsamifera Mas,Salix balsamifera 'Mas',latin normalization,1
APPLIED_REGEX_RULE,Salix caprea Mas,Salix caprea 'Mas',latin normalization,61
APPLIED_REGEX_RULE,"Sambucus spec., Holunder",Sambucus nigra,latin normalization,2
APPLIED_REGEX_RULE,Thuja plicata Excelsa,Thuja plicata 'Excelsa',latin normalization,13
APPLIED_REGEX_RULE,Tilia intermedia,Tilia hybr. europaea,latin normalization,18371
APPLIED_REGEX_RULE,Tilia intermedia 'Pallida',Tilia hybr. europaea 'Pallida',latin normalization,12840
APPLIED_REGEX_RULE,Tilia pallida 'Ruvo',Tilia hybr. europaea 'Pallida',latin normalization,41
APPLIED_REGEX_RULE,Ulmus 'Columella' (R),Ulmus 'Columella' ,latin normalization,146
APPLIED_REGEX_RULE,Amelanchier lamarkii 'Ballerina',Amelanchier lamarckii 'Ballerina',latin spelling fix,29
APPLIED_REGEX_RULE,Acer campestre ''Huibers Elegant',Acer campestre 'Huibers Elegant',normalize cultivar style,225
APPLIED_REGEX_RULE,Acer x neglectum 'Annae',Acer hybr. neglectum 'Annae',normalize hybrid marker,5
APPLIED_REGEX_RULE,Catalpa x erubescens 'Purpurea',Catalpa hybr. erubescens 'Purpurea',normalize hybrid marker,1
APPLIED_REGEX_RULE,Crataegus x lavallei 'Carrierei',Crataegus hybr. lavallei 'Carrierei',normalize hybrid marker,1195
APPLIED_REGEX_RULE,Crataegus x macrocarpa,Crataegus hybr. macrocarpa,normalize hybrid marker,23
APPLIED_REGEX_RULE,Ilex x altaclerensis 'Belgica',Ilex hybr. altaclerensis 'Belgica',normalize hybrid marker,1
APPLIED_REGEX_RULE,Malus x Purpurea,Malus hybr. Purpurea,normalize hybrid marker,37
APPLIED_REGEX_RULE,Platanus x hispanica,Platanus hybr. hispanica,normalize hybrid marker,19
APPLIED_REGEX_RULE,Platanus x hispanica 'Pyramidalis',Platanus hybr. hispanica 'Pyramidalis',normalize hybrid marker,5
APPLIED_REGEX_RULE,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',normalize hybrid marker,458
APPLIED_REGEX_RULE,Populus x canadensis 'Robusta',Populus hybr. canadensis 'Robusta',normalize hybrid marker,266
APPLIED_REGEX_RULE,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,normalize hybrid marker,3424
APPLIED_REGEX_RULE,Prunus x schmittii,Prunus hybr. schmittii,normalize hybrid marker,208
APPLIED_REGEX_RULE,Pyrus x canescens,Pyrus hybr. canescens,normalize hybrid marker,73
APPLIED_REGEX_RULE,Quercus x tabajdiana,Quercus hybr. tabajdiana,normalize hybrid marker,6
APPLIED_REGEX_RULE,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',normalize hybrid marker,116
APPLIED_REGEX_RULE,Tilia x europaea 'Konnings',Tilia hybr. europaea 'Konnings',normalize hybrid marker,78
APPLIED_REGEX_RULE,Tilia x moltkei,Tilia hybr. moltkei,normalize hybrid marker,128
APPLIED_REGEX_RULE,Ulmus Hybride 'Dodoens',Ulmus hybr. 'Dodoens',normalize hybrid marker,63
APPLIED_REGEX_RULE,Ulmus Hybride 'Lobel',Ulmus hybr. 'Lobel',normalize hybrid marker,176
APPLIED_REGEX_RULE,Ulmus Hybride 'Plantijn',Ulmus hybr. 'Plantijn',normalize hybrid marker,335
APPLIED_REGEX_RULE,Ulmus Resista (R) 'Fiorente',Ulmus hybr. 'Fiorente',normalize hybrid marker,248
APPLIED_REGEX_RULE,Ulmus Resista (R) 'New Horizon',Ulmus hybr. 'New Horizon',normalize hybrid marker,1753
APPLIED_REGEX_RULE,Ulmus Resista (R) 'Rebona',Ulmus hybr. 'Rebona',normalize hybrid marker,881
APPLIED_REGEX_RULE,Ulmus Resista (R) 'Regal',Ulmus hybr. 'Regal',normalize hybrid marker,976
APPLIED_REGEX_RULE,Ulmus Resista (R) 'Reverti',Ulmus hybr. 'Reverti',normalize hybrid marker,1
APPLIED_REGEX_RULE,Ulmus Resista (R) 'Sapporo Autumn Gold',Ulmus hybr. 'Sapporo Autumn Gold',normalize hybrid marker,87
APPLIED_REGEX_RULE,Ulmus x hollandica,Ulmus hybr. hollandica,normalize hybrid marker,97
APPLIED_REGEX_RULE,Ulmus x hollandica 'Groeneveld',Ulmus hybr. hollandica 'Groeneveld',normalize hybrid marker,1
APPLIED_REGEX_RULE,Ulmus x hollandica 'Vegeta',Ulmus hybr. hollandica 'Vegeta',normalize hybrid marker,163
APPLIED_REGEX_RULE,Ulmus x hollandica 'Wredei',Ulmus hybr. hollandica 'Wredei',normalize hybrid marker,22
APPLIED_REGEX_RULE,Abies spec.,Abies sp.,normalize unknown species abbr.,205
APPLIED_REGEX_RULE,Acer spec.,Acer sp.,normalize unknown species abbr.,5951
APPLIED_REGEX_RULE,Aesculus spec.,Aesculus sp.,normalize unknown species abbr.,950
APPLIED_REGEX_RULE,Alnus spec.,Alnus sp.,normalize unknown species abbr.,584
APPLIED_REGEX_RULE,Amelanchier spec.,Amelanchier sp.,normalize unknown species abbr.,35
APPLIED_REGEX_RULE,Betula spec.,Betula sp.,normalize unknown species abbr.,1826
APPLIED_REGEX_RULE,Buxus spec.,Buxus sp.,normalize unknown species abbr.,8
APPLIED_REGEX_RULE,Caragana spec.,Caragana sp.,normalize unknown species abbr.,6
APPLIED_REGEX_RULE,Carpinus spec.,Carpinus sp.,normalize unknown species abbr.,993
APPLIED_REGEX_RULE,Carya spec.,Carya sp.,normalize unknown species abbr.,9
APPLIED_REGEX_RULE,Catalpa spec.,Catalpa sp.,normalize unknown species abbr.,36
APPLIED_REGEX_RULE,Cedrus spec.,Cedrus sp.,normalize unknown species abbr.,21
APPLIED_REGEX_RULE,Chamaecyparis spec.,Chamaecyparis sp.,normalize unknown species abbr.,130
APPLIED_REGEX_RULE,Cornus spec.,Cornus sp.,normalize unknown species abbr.,165
APPLIED_REGEX_RULE,Corylus spec.,Corylus sp.,normalize unknown species abbr.,111
APPLIED_REGEX_RULE,Crataegus spec.,Crataegus sp.,normalize unknown species abbr.,1383
APPLIED_REGEX_RULE,Eucalyptus spec.,Eucalyptus sp.,normalize unknown species abbr.,1
APPLIED_REGEX_RULE,Fagus spec.,Fagus sp.,normalize unknown species abbr.,1937
APPLIED_REGEX_RULE,Fraxinus spec.,Fraxinus sp.,normalize unknown species abbr.,1335
APPLIED_REGEX_RULE,Ilex spec.,Ilex sp.,normalize unknown species abbr.,56
APPLIED_REGEX_RULE,Juglans spec.,Juglans sp.,normalize unknown species abbr.,185
APPLIED_REGEX_RULE,Juniperus spec.,Juniperus sp.,normalize unknown species abbr.,52
APPLIED_REGEX_RULE,Laburnum spec.,Laburnum sp.,normalize unknown species abbr.,22
APPLIED_REGEX_RULE,Larix spec.,Larix sp.,normalize unknown species abbr.,223
APPLIED_REGEX_RULE,Liquidambar spec.,Liquidambar sp.,normalize unknown species abbr.,161
APPLIED_REGEX_RULE,Liriodendron spec.,Liriodendron sp.,normalize unknown species abbr.,12
APPLIED_REGEX_RULE,Magnolia spec.,Magnolia sp.,normalize unknown species abbr.,87
APPLIED_REGEX_RULE,Malus spec.,Malus sp.,normalize unknown species abbr.,2176
APPLIED_REGEX_RULE,Morus spec.,Morus sp.,normalize unknown species abbr.,94
APPLIED_REGEX_RULE,Picea spec.,Picea sp.,normalize unknown species abbr.,541
APPLIED_REGEX_RULE,Pinus spec.,Pinus sp.,normalize unknown species abbr.,2908
APPLIED_REGEX_RULE,Platanus spec.,Platanus sp.,normalize unknown species abbr.,346
APPLIED_REGEX_RULE,Populus spec.,Populus sp.,normalize unknown species abbr.,3260
APPLIED_REGEX_RULE,Prunus spec.,Prunus sp.,normalize unknown species abbr.,4796
APPLIED_REGEX_RULE,Pterocarya spec.,Pterocarya sp.,normalize unknown species abbr.,16
APPLIED_REGEX_RULE,Pyrus spec.,Pyrus sp.,normalize unknown species abbr.,440
APPLIED_REGEX_RULE,Quercus spec.,Quercus sp.,normalize unknown species abbr.,6048
APPLIED_REGEX_RULE,Rhamnus spec.,Rhamnus sp.,normalize unknown species abbr.,25
APPLIED_REGEX_RULE,Robinia spec.,Robinia sp.,normalize unknown species abbr.,1932
APPLIED_REGEX_RULE,Salix spec.,Salix sp.,normalize unknown species abbr.,2129
APPLIED_REGEX_RULE,Sambucus spec.,Sambucus sp.,normalize unknown species abbr.,62
APPLIED_REGEX_RULE,Sorbus spec.,Sorbus sp.,normalize unknown species abbr.,303
APPLIED_REGEX_RULE,Syringa spec.,Syringa sp.,normalize unknown species abbr.,11
APPLIED_REGEX_RULE,Tamarix spec.,Tamarix sp.,normalize unknown species abbr.,11
APPLIED_REGEX_RULE,Taxus spec.,Taxus sp.,normalize unknown species abbr.,611
APPLIED_REGEX_RULE,Thuja spec.,Thuja sp.,normalize unknown species abbr.,178
